event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
313,17.0,Serbia,home, 26' ,Goal, Aleksandar Mitrović , Dušan Tadić 
314,17.0,Switzerland,away, 34' ,Yellow card, Ruben Vargas ,
315,17.0,Serbia,home, 35' ,Goal, Dušan Vlahović ,
316,17.0,Switzerland,away, 44' ,Goal, Breel Embolo , Silvan Widmer 
317,17.0,Serbia,home, 47' ,Yellow card, Sergej Milinković-Savić ,
318,17.0,Switzerland,away, 48' ,Goal, Remo Freuler , Ruben Vargas 
319,17.0,Serbia,home, 55' ,Substitution, Nemanja Gudelj , Milos Veljkovic 
320,17.0,Serbia,home, 55' ,Substitution, Luka Jović , Dušan Vlahović 
321,17.0,Serbia,home, 56' ,Yellow card, Strahinja Pavlović ,
322,17.0,Serbia,home, 66' ,Yellow card, Predrag Rajković ,
323,17.0,Serbia,home, 67' ,Substitution, Nemanja Maksimović , Sergej Milinković-Savić 
324,17.0,Switzerland,away, 68' ,Substitution, Edimilson Fernandes , Djibril Sow 
325,17.0,Switzerland,away, 69' ,Substitution, Denis Zakaria , Xherdan Shaqiri 
326,17.0,Serbia,home, 78' ,Substitution, Filip Đuričić , Dušan Tadić 
327,17.0,Serbia,home, 78' ,Substitution, Nemanja Radonjić , Andrija Živković 
328,17.0,Serbia,home, 81' ,Yellow card, Nemanja Gudelj ,
329,17.0,Serbia,home, 82' ,Yellow card, Aleksandar Mitrović ,
330,17.0,Switzerland,away, 83' ,Substitution, Christian Fassnacht , Ruben Vargas 
331,17.0,Switzerland,away, 95' ,Yellow card, Granit Xhaka ,
332,17.0,Serbia,home, 95' ,Yellow card, Nikola Milenković ,
333,17.0,Switzerland,away, 96' ,Substitution, Noah Okafor , Breel Embolo 
334,17.0,Switzerland,away, 99' ,Yellow card, Fabian Schär ,
335,17.0,Serbia,home, 100' ,Yellow card, Saša Lukić ,
336,18.0,Cameroon,home, 6' ,Yellow card, Nouhou Tolo ,
337,18.0,Brazil,away, 7' ,Yellow card, Éder Militão ,
338,18.0,Cameroon,home, 28' ,Yellow card, Pierre Kunde ,
