listing.garden;listing.suites;listing.bathtub;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.address.neighborhood;listing.totalAreas;listing.pricingInfo.rentalPrice;listing.hottub;listing.sportcourt;listing.soundproofing;listing.furnished;listing.unitsOnTheFloor;listing.unitFloor;listing.bedrooms;listing.address.zone;listing.parkingSpaces;listing.bathrooms;listing.tenniscourt;listing.pool;listing.partyhall;listing.guestpark;listing.barbgrill;listing.playground;listing.usableAreas;listing.backyard;listing.fireplace;listing.gym;listing.floors;imvl_type;listing.mountainview;listing.sauna;listing.imvl_month;listing.imvl_year;listing.imvl_season
False;0.0;False;0.0;244.0;Portuguesa;50.0;1.2;False;False;False;False;0.0;1.0;1;Zona Norte;1.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;118.0;796.0;Centro;66.0;1.6;False;False;False;False;0.0;7.0;1;Zona Central;0.0;1;False;False;False;False;False;False;66.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;57.0;750.0;Jacarepaguá;46.0;1.92;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;False;False;False;False;False;46.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;480.0;Centro;40.0;1.2;False;False;False;False;10.0;11.0;1;Zona Central;0.0;1;False;False;False;False;False;False;40.0;False;False;False;11.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;205.0;1040.0;Ipanema;44.0;2.5;False;False;False;False;6.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;44.0;False;False;False;8.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;87.0;675.0;Flamengo;40.0;2.0;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
True;1.0;False;2.0;1300.0;Barra da Tijuca;65.0;3.0;False;True;False;True;0.0;16.0;1;Zona Oeste;1.0;2;False;True;True;False;True;True;65.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;80.0;715.0;Tijuca;65.0;1.4;False;False;False;False;6.0;4.0;1;Zona Norte;1.0;2;False;False;True;False;False;True;65.0;False;False;False;9.0;apartamentos;False;False;4;2023;Outono
False;0.0;False;383.0;1120.0;Ipanema;80.0;4.5;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;2;False;False;False;False;False;False;80.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;130.0;200.0;Jacarepaguá;35.0;3.7;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;False;False;False;False;False;35.0;False;False;True;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;450.0;Jardim Guanabara;80.0;1.1;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;1;False;False;False;False;False;False;80.0;False;False;False;1.0;apartamentos;False;False;4;2023;Outono
False;1.0;False;87.0;490.0;Flamengo;31.0;1.4;False;False;False;False;8.0;6.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;31.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;400.0;Vargem Pequena;55.0;2.0;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;1.0;688.0;Pechincha;57.0;1.2;False;False;False;False;0.0;0.0;1;Zona Oeste;1.0;2;False;False;False;False;False;False;57.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;100.0;650.0;Vila Isabel;49.0;1.55;False;False;False;False;0.0;0.0;1;Zona Norte;0.0;1;False;False;False;False;False;False;49.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;518.0;Glória;50.0;1.7;False;False;False;False;0.0;0.0;1;Zona Sul;1.0;1;False;False;False;False;False;False;50.0;False;False;False;0.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;79.0;797.0;Centro;43.0;1.3;False;False;False;False;7.0;2.0;1;Zona Central;1.0;1;False;False;True;False;False;True;43.0;False;False;False;13.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;657.0;Vila Isabel;55.0;1.1;False;False;False;False;8.0;6.0;1;Zona Norte;0.0;2;False;False;False;False;False;False;55.0;False;False;False;8.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;110.0;680.0;Copacabana;40.0;2.0;False;False;False;True;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;71.0;975.0;Barra da Tijuca;42.0;1.17;False;False;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;True;False;False;True;False;42.0;False;False;False;1.0;apartamentos;False;True;5;2023;Outono
False;1.0;False;180.0;660.0;Centro;45.0;2.4;False;False;False;True;15.0;9.0;1;Zona Central;0.0;1;False;True;True;False;False;False;44.0;False;False;True;10.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;104.0;721.0;Copacabana;40.0;1.9;False;False;False;False;0.0;0.0;1;Zona Sul;1.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;148.0;645.0;Jardim Guanabara;58.0;1.649;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;2;False;False;False;False;False;False;58.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;0.0;264.0;Taquara;85.0;1.2;False;False;False;False;0.0;0.0;1;Zona Oeste;1.0;2;False;False;False;False;False;False;85.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;53.0;275.0;Santa Teresa;50.0;1.47;False;False;False;False;0.0;0.0;1;Zona Central;0.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;140.0;920.0;Copacabana;49.0;1.9;False;False;False;False;6.0;10.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;49.0;False;False;False;12.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;400.0;Freguesia;55.0;1.0;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;1;False;False;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;100.0;800.0;Jacarepaguá;76.0;1.1;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;True;True;True;False;True;True;68.0;False;False;False;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;38.0;450.0;Irajá;49.0;1.0;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;1;False;True;True;False;False;True;49.0;False;False;True;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;100.0;500.0;Catete;42.0;1.6;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;42.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;24.0;380.0;Praça da Bandeira;36.0;1.3;False;False;False;False;0.0;0.0;1;Zona Norte;0.0;1;False;False;False;False;False;False;36.0;False;False;False;1.0;apartamentos;False;False;6;2022;Outono
False;0.0;False;83.0;800.0;Taquara;40.0;1.3;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;False;True;40.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;0.0;543.0;Grajaú;43.0;1.5;False;False;False;False;0.0;1.0;1;Zona Norte;0.0;1;False;False;False;False;False;False;43.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;232.0;500.0;Gávea;62.0;2.8;False;False;False;False;4.0;3.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;62.0;False;False;False;4.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;120.0;1275.0;Barra da Tijuca;66.0;3.0;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;True;True;66.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;109.0;750.0;Ipanema;38.0;3.1;False;False;False;True;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;38.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;300.0;Moneró;48.0;1.4;False;False;False;False;0.0;1.0;1;Zona Norte;1.0;2;False;False;False;False;False;False;48.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;500.0;Botafogo;40.0;1.2;False;False;False;False;0.0;12.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;0.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;100.0;700.0;Freguesia;40.0;2.5;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;False;False;40.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;85.0;570.0;Humaitá;30.0;2.2;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;30.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;77.0;940.0;Copacabana;53.0;2.93;False;False;False;True;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;53.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;70.0;700.0;Centro;50.0;2.55;False;False;False;False;0.0;0.0;1;Zona Central;1.0;1;False;False;False;False;False;True;50.0;False;False;False;1.0;apartamentos;False;False;2;2023;Verão
False;0.0;False;119.0;489.0;Pechincha;61.0;1.3;False;False;False;False;0.0;5.0;1;Zona Oeste;1.0;1;False;False;False;False;True;False;61.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
True;1.0;False;127.0;561.0;Flamengo;45.0;2.5;False;False;False;False;11.0;1.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;45.0;False;False;False;3.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;92.0;726.0;Copacabana;50.0;3.5;False;False;False;True;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;77.0;600.0;Tijuca;50.0;2.0;False;False;False;False;0.0;6.0;1;Zona Norte;0.0;3;False;False;False;False;False;False;50.0;False;False;False;6.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;330.0;650.0;Recreio Dos Bandeirantes;48.0;3.0;False;False;False;False;0.0;0.0;1;Zona Oeste;0.0;1;False;False;False;False;False;False;48.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;51.0;620.0;Catete;43.0;1.7;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;43.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;67.0;750.0; Vila Valqueire;70.0;1.2;False;True;False;False;0.0;0.0;1;Zona Norte;1.0;2;False;False;True;False;False;True;70.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;132.0;794.0;Copacabana;48.0;2.1;False;False;False;True;0.0;5.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;48.0;False;False;False;20.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;133.0;695.0;Copacabana;45.0;2.0;False;False;False;False;8.0;11.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;45.0;False;False;False;12.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;72.0;741.0;Laranjeiras;41.0;2.0;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;41.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;95.0;655.0;Botafogo;42.0;2.1;False;False;False;False;0.0;3.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;42.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;67.0;430.0;Vila Isabel;70.0;1.25;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;2;False;False;False;False;False;True;70.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;124.0;425.0;Laranjeiras;49.0;2.3;False;False;False;False;0.0;4.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;49.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;52.0;750.0;Jacarepaguá;46.0;1.903;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;True;False;46.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;0.0;545.0;Lins de Vasconcelos;47.0;1.5;False;False;False;False;0.0;4.0;1;Zona Norte;1.0;1;False;False;False;False;False;False;47.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;167.0;800.0;Jacarepaguá;36.0;1.6;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;False;False;36.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;1.0;False;0.0;295.0;Rocha;48.0;1.1;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;2;False;True;True;False;False;True;48.0;False;False;False;1.0;apartamentos;False;False;6;2022;Outono
True;1.0;False;138.0;890.0;Botafogo;54.0;2.68;False;False;False;True;5.0;8.0;1;Zona Sul;1.0;2;False;False;True;False;False;True;52.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;250.0;Colégio;55.0;1.31;False;False;False;False;0.0;5.0;1;Zona Norte;1.0;1;False;False;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;3;2023;Verão
False;1.0;False;210.0;1310.0;Barra da Tijuca;70.0;3.2;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;2;False;True;False;False;True;False;70.0;False;False;False;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;49.0;534.0;Madureira;60.0;1.2;False;False;False;False;6.0;2.0;1;Zona Norte;1.0;2;False;False;False;False;False;False;60.0;False;False;False;3.0;apartamentos;False;False;4;2023;Outono
False;0.0;False;127.0;630.0;Copacabana;40.0;1.4;False;False;False;False;16.0;7.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;12.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;122.0;459.0;Copacabana;40.0;1.8;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;80.0;560.0;Andaraí;58.0;1.4;False;False;False;False;0.0;10.0;1;Zona Norte;1.0;1;False;False;True;False;True;False;58.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;79.0;533.0;Tijuca;41.0;1.6;False;False;False;False;7.0;6.0;1;Zona Norte;0.0;1;False;False;False;False;False;False;41.0;False;False;False;8.0;apartamentos;False;False;5;2023;Outono
True;0.0;False;0.0;600.0;Recreio Dos Bandeirantes;46.0;2.2;False;False;False;True;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;True;True;46.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;14.0;240.0;Santa Teresa;55.0;1.184;False;False;False;False;0.0;0.0;1;Zona Central;0.0;1;False;False;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;167.0;770.0;Ipanema;42.0;2.555;False;False;False;False;8.0;7.0;1;Zona Sul;0.0;1;False;False;True;False;False;False;42.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;36.0;220.0;Rio Comprido;60.0;1.5;False;False;False;False;0.0;0.0;1;Zona Central;0.0;2;False;False;False;False;False;False;60.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;9.0;350.0;Freguesia;46.0;1.5;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;False;True;False;True;True;46.0;False;False;True;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;127.0;492.0;Barra da Tijuca;40.0;2.3;False;False;False;False;0.0;29.0;1;Zona Oeste;1.0;1;False;False;False;False;False;False;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;24.0;689.0;Anil;55.0;1.3;False;False;False;False;0.0;0.0;1;Zona Oeste;0.0;1;False;False;False;False;False;False;55.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;159.0;500.0;Copacabana;60.0;3.6;False;False;False;False;0.0;0.0;1;Zona Sul;1.0;2;False;False;False;False;False;False;60.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;315.0;Freguesia;40.0;1.15;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;False;True;False;True;True;40.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
