type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;VIZU IMOBILIARIA BOUTIQUE LTDA;320;320;Cobertura com 4 quartos, 320 m² - venda por 4.800.000 ou aluguel por 20.860/mês - Ipanema - Ri;Cobertura duplex em Ipanema, com piscina!<br>São 320m² distribuídos em 2 andares, com varandas, salões amplos em 2 ambientes, 6 quartos, sendo 2 suítes, todos com armários embutidos, 2 banheiros sociais, copa-cozinha planejada e dependência completa.<br><br>Além disso, a cobertura ainda conta com churrasqueira para aproveitar momentos inesquecíveis com amigos e familiares.<br><br>Com 4 vagas na escritura, essa é a oportunidade ideal para quem busca conforto, elegância e sofisticação em um dos bairros mais desejados do Rio de Janeiro.<br><br>E o melhor, o segundo piso tem entrada independente, permitindo que você possa separar a cobertura em 2 apartamentos, uma verdadeira oportunidade de investimento.<br><br>Não perca essa chance de conhecer essa oportunidade em Ipanema! Agende a sua visita! -;2023-04-11T01:54:08.267Z;2023-05-15T09:52:47.923Z;;4;22411030;Rua Alberto de Campos;Ipanema;;2;5;4;4.800.000;1.150;3.210;SUPER_PREMIUM;PENTHOUSE;;RESIDENTIAL;AIR_CONDITIONING|KITCHEN|DEPOSIT|ELEVATOR|INTERCOM|ALARM_SYSTEM|CABLE_TV|SERVICE_AREA;;RENTAL_SALE;Zona Sul;False;Cobertura para alugar e comprar em;9884-J-RJ;16.500;0;;False;USED;;UNIT;0;False;CO0079;True;Rio de Janeiro;ROOFTOP;True;;Alugar/Comprar;BR;STREET;56fd3e4b-7a00-b7fc-123b-fd7fad51240d;/imovel/venda-cobertura-4-quartos-com-ar-condicionado-ipanema-zona-sul-rio-de-janeiro-rj-320m2-id-2625276846/;GRUPOZAP;2625276846;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;19.710;16.500;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;RJ Home;630;630;Cobertura duplex para aluguel possui 630 metros quadrados com 7 quartos;"Cobertura Jardim Oceanico<br> Venha ter a experiência de morar em uma Casa Suspensa com total exclusividade!<br>São 630m2 de cobertura , sendo ela toda interligada a 360°, com ; piscina, sauna , hidromassagem para 12 pessoas ,8 vagas de garagem Sendo 3 privativas (onde ninguém vê ou encosta no seu carro), 6 suítes +1 quarto , 8 banheiros e 2 lavabos , sala de jantar , sala de tv , salão de jogos , bar, cozinha , lavanderia e tudo isso no coração da barra , em frente à praça do pomar e com a vista deslumbrante da Pedra da Gávea, e com o privilégio de estar a 2 quadras da praia , ao lado do mercado zona sul , em frente à body tech da Érico Veríssimo , ao lado do metrô jardim oceânico , correios , bancos , bares , restaurantes e boates!<br>Ou seja conforto e praticidade juntos!<br>Garantia : Seguro fiança Título de capitalização De 4 meses <br><br>Agende sua visita !";2023-04-19T17:32:08.007Z;2023-05-15T16:59:11.718Z;;8;22640100;Avenida das Américas;Barra da Tijuca;10;6;10;7;;2.300;4.000;SUPER_PREMIUM;APARTMENT;PENTHOUSE|TRIPLEX;RESIDENTIAL;WHIRLPOOL|GATED_COMMUNITY|LAUNDRY|POOL|ELECTRONIC_GATE|CONCIERGE_24H|GAMES_ROOM|SAUNA|BAR|LAVABO|DINNER_ROOM|AIR_CONDITIONING|FURNISHED|GOURMET_BALCONY;-22.99908;RENTAL;Zona Oeste;False;Cobertura para alugar em;008536-J-RJ;20.000;0;-43.347918;False;USED;GOOGLE;UNIT;0;False;RJHLOCJARDIMOCEANICO-FE;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;4607ead4-6d47-5d84-9a5b-c2817a73165c;/imovel/aluguel-cobertura-7-quartos-mobiliado-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-630m2-id-2627256172/;GRUPOZAP;2627256172;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;24.000;20.000;cobertura;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False
superPremium;CrisCasa Imobiliária;600;600;COBERTURA PARA LOCAÇÃO EM RIO DAS OSTRAS;A CrisCasa Imobiliária oferece para locação excelente Cobertura de alto padrão.<br>Vista de toda Cidade de Rio das Ostras. Com 600 Metros total, 2 andares<br><br>* Primeiro andar: sala de estar e sala de jantar com vista panorâmica.<br>Banheiro social, cozinha e área de serviço, total de 4 quartos, sendo 2 suítes simples, 1 suíte ampla com varandão e uma suíte master com closet, banheira e área de convivência.<br><br>*Segundo andar: cozinha, sauna, salão de festa, 1 suíte e piscina.<br><br>- Prédio em frente ao trevo de Rio das Ostras,<br>- 10 minutos do Centro de Rio das Ostras<br>- VISTA PARA O MAR<br>- Fácil acesso as principais praias de Rio das Ostras.<br><br>Aproveite já essa oportunidade!!!<br>Ligue e agende sua visita. -;2023-02-13T20:58:40.868Z;2023-05-10T02:19:01.975Z;;1;28890594;Rua José de Alencar;Jardim Campomar;;3;2;4;1.800.000;2.300;;SUPER_PREMIUM;PENTHOUSE;;RESIDENTIAL;AIR_CONDITIONING|BARBECUE_GRILL|KITCHEN|ELEVATOR|INTERCOM|POOL|BALCONY|SERVICE_AREA;;RENTAL_SALE;Bairros;False;Cobertura para alugar e comprar em;006566-J-RJ;6.000;0;;False;USED;;UNIT;0;False;CO0387;True;Rio de Janeiro;APPROXIMATE;True;;Alugar/Comprar;BR;STREET;89f84900-61e2-5dc6-e154-966ebb166844;/imovel/venda-cobertura-4-quartos-com-piscina-jardim-campomar-rio-das-ostras-rj-600m2-id-2612566524/;GRUPOZAP;2612566524;RENTAL;STREET;Rio das Ostras;VALID_STREET;mês;;6.000;cobertura;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
;CÉSAR;220;;Cobertura na Riviera c/ 4qts, send 3síte, 4brs, 1vg, amrs plnjds, vrnd, churrqr, blindx, d;"Código do anúncio: 3278<br><br>- Apartamento cobertura localizada na Riviera Fluminense - Macaé - Rj<br><br>4 quartos, sendo 3 suítes, dependência de empregada, banheiro social, com sala de estar e jantar, ampla varanda com churrasqueira, área descoberta junto a churrasqueira, cozinha com copa integrada, dispensa, área de serviço coberta e descoberta;<br>- Prédio com salão de festa e vaga de garagem;<br>- Prédio com placa solar.<br><br>580,00 de condomínio";2023-05-10T19:26:28.556Z;2023-05-10T19:26:31.929Z;;1;27937210;;Riviera Fluminense;;3;4;4;;;580;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;;;RENTAL;Bairros;False;Cobertura para alugar em;;3.500;0;;False;USED;;UNIT;0;False;3278;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;bee958ee-ac05-5662-dc4a-b5e6d31e6385;/imovel/aluguel-cobertura-4-quartos-riviera-fluminense-macae-rj-220m2-id-2631465958/;GRUPOZAP;2631465958;RENTAL;NEIGHBORHOOD;Macaé;VALID_STREET;mês;4.080;3.500;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;QuintoAndar Aluguel;190;190;Apartamento para Aluguel - Meier, 4 Quartos, 190 m2;Apartamento para Aluguel - Meier, 4 Quartos, 190 m2. Sobre o imóvel: 03 VAGAS de CARROS COBERTAS DUPLEX<br><br>Valores:<br>- Aluguel: 2797<br>- Condomínio: 600<br>- IPTU: 534<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-14T20:21:46.588Z;2023-05-14T20:21:47.304Z;;3;20735320;Rua Curupaiti;Méier;;2;4;4;;534;600;STANDARD;PENTHOUSE;;RESIDENTIAL;GARAGE|GOURMET_BALCONY|PETS_ALLOWED;;RENTAL;Zona Norte;False;Cobertura para alugar em;24344-J-SP;2.797;0;;False;USED;;UNIT;0;False;893383139;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-4-quartos-meier-zona-norte-rio-de-janeiro-rj-190m2-id-2632340711/;GRUPOZAP;2632340711;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;3.397;2.797;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;CÉSAR;200;;Cobertura Valentina Miranda c/ 4qts, sendo 2suítes, 3brs, 2cgs, piscina, churrqr, amrs;Código do anúncio: 2343<br><br>3.800,00 com o condomínio e água inclusos.<br><br>Cobertura Valentina Miranda com 4 quartos, duas suítes (uma delas na parte superior, podendo ser independente e outra no andar de baixo), duas salas (uma embaixo e uma em cima), cozinha, banheiro social, banheiro de serviço e duas vagas de garagem, com vista para o mar, cômodos amplos.;2023-05-13T14:55:21.699Z;2023-05-15T00:49:55.122Z;;2;27915170;;Valentina Miranda;;2;3;4;;;500;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;GATED_COMMUNITY|ELEVATOR|GOURMET_BALCONY;;RENTAL;Bairros;False;Cobertura para alugar em;;3.300;0;;False;USED;;UNIT;0;False;2343;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;bee958ee-ac05-5662-dc4a-b5e6d31e6385;/imovel/aluguel-cobertura-4-quartos-valentina-miranda-macae-rj-200m2-id-2632137371/;GRUPOZAP;2632137371;RENTAL;NEIGHBORHOOD;Macaé;VALID_STREET;mês;3.800;3.300;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Fernanda Freitas;177;177;Cobertura duplex para alugar de 4 quartos,177m² por R$5.350/mês no Recreio dos Bandeirantes-Rio de J;Cobertura duplex para alugar de 4 quartos,177m² por R$5.350/mês no Recreio dos Bandeirantes-Rio de Janeiro/RJ<br><br>A Imóveis Fernanda Freitas aluga excelente cobertura duplex de 4 quartos, no Condomínio Sofisticato Residence, situado na Rua Omar Bandeira Ramidan Sobrinho, 730 no Recreio dos Bandeirantes - Rio de janeiro / RJ. São 177m², piso em porcelanato fosco, imóvel claro e arejado, com 1 vaga dupla no subsolo.<br><br>Primeiro pavimento- Varanda com vista livre, sala em 2 ambientes, banheiro social sem blindex e sem armários, 3 suítes ( 2 canadenses ), sem armários e banheiros sem armários e blindex, cozinha planejada e área de serviço.<br><br>Segundo pavimento- Sala íntima, lavabo, 1 quarto suíte sem armários, banheiro da suíte sem armários e blindex. Terraço com piscina, churrasqueira e pia de apoio.<br><br>O Condomínio Sofisticato Residence possui fácil acesso a Avenida das Américas, próximo ao Américas Shopping e Recreio Shopping, conta infraestrutura de lazer, segurança e conforto com piscina, hidromassagem, piscina infantil, fitness, salão de festas, espaço zen, cinema, playground, sauna, espaço infantil, campo de futebol, home office e espaço multiuso. Portaria e recepção 24 horas, elevadores, portão eletrônico e câmeras de segurança.<br><br>Ref: FF00331 Creci: 64255. Atenção: A Imóveis Fernanda Freitas possui rigorosa política de atualização de preços dos seus imóveis. No entanto os mesmos estão sujeitos a alteração, sem aviso prévio, por parte dos proprietários.;2023-03-21T15:40:05.814Z;2023-05-17T11:15:09.089Z;3;2;22790662;Rua Omar Bandeira Ramidan Sobrinho;Recreio Dos Bandeirantes;730;4;4;4;;485;1.658;PREMIUM;APARTMENT;PENTHOUSE|DUPLEX;RESIDENTIAL;RECREATION_AREA|POOL_BAR|SECURITY_CAMERA|FOOTBALL_FIELD|SECURITY_CABIN|CHILDRENS_POOL|ADULT_POOL|DECK|GUEST_PARKING|GRASS|WATCHMAN|DRESS_ROOM2|ENTRANCE_HALL|GYM|DISABLED_ACCESS|BICYCLES_PLACE|BARBECUE_GRILL|GATED_COMMUNITY|ELEVATOR|GOURMET_SPACE|GARDEN|POOL|PLAYGROUND|ELECTRONIC_GATE|CONCIERGE_24H|PARTY_HALL|GAMES_ROOM|SAUNA|SPORTS_COURT|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_SHOPPING_CENTER|SECURITY_24_HOURS|BALCONY|INTERNET_ACCESS|SERVICE_AREA|KITCHEN_CABINETS|GAS_SHOWER|INTERCOM|LAVABO|PRIVATE_POOL|PORCELAIN|NEAR_PUBLIC_TRANSPORT|RECEPTION|MOUNTAIN_VIEW|NATURAL_VENTILATION|BLINDEX_BOX|BUILTIN_WARDROBE|BATHROOM_CABINETS|LARGE_KITCHEN|ALUMINUM_WINDOW|COLD_FLOOR|PETS_ALLOWED|GOURMET_BALCONY;-23.013318;RENTAL;Zona Oeste;False;Cobertura para alugar em;64255-F-RJ;5.350;3;-43.468262;False;USED;GOOGLE;UNIT;7;False;FF00331;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;d8e46d4f-4333-0908-d24a-b44fb5f8116a;/imovel/aluguel-cobertura-4-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-177m2-id-2619933882/;GRUPOZAP;2619933882;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;7.008;5.350;cobertura;True;True;False;True;True;True;False;True;False;False;False;True;False;False;True;True;True
premium;QuintoAndar Aluguel;180;180;Apartamento para Aluguel - Recreio, 4 Quartos, 180 m2;Apartamento para Aluguel - Recreio, 4 Quartos, 180 m2. Sobre o imóvel: Amplo cobertura linear com 4 suítes, 2 vagas e 6 banheiros (contando lavabo e serviço). Condomínio com piscina, churrasqueira, sauna. Vista para mar, apenas 1 quadra da praia do posto 10 APARTAMENTO TERCEIRO ANDAR LAMINA<br><br>Valores:<br>- Aluguel: 5856<br>- Condomínio: 1360<br>- IPTU: 503<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-13T08:01:37.602Z;2023-05-13T08:01:38.759Z;;2;22795080;Rua Presidente Nereu Ramos;Recreio Dos Bandeirantes;;4;5;4;;503;1.360;PREMIUM;PENTHOUSE;;RESIDENTIAL;BARBECUE_GRILL|GARAGE|POOL|PARTY_HALL|GOURMET_BALCONY|SAUNA|PETS_ALLOWED;;RENTAL;Zona Oeste;False;Cobertura para alugar em;24344-J-SP;5.856;0;;False;USED;;UNIT;0;False;893493699;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-4-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-180m2-id-2632071933/;GRUPOZAP;2632071933;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;7.216;5.856;cobertura;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False
;VINO VIANA;225;;Cobertura na Riviera c/ 4qts, send 3síte, 4brs, 1vg, amrs plnjds, vrnd, churrqr, blindx, despensa;"Código do anúncio: 3278<br><br>- Apartamento cobertura localizada na Riviera Fluminense - Macaé - Rj<br><br>4 quartos, sendo 3 suítes, dependência de empregada, banheiro social, com sala de estar e jantar, ampla varanda com churrasqueira, área descoberta junto a churrasqueira, cozinha com copa integrada, dispensa, área de serviço coberta e descoberta;<br>- Prédio com salão de festa e vaga de garagem;<br>- Prédio com placa solar.<br><br>580,00 de condomínio";2023-04-04T18:23:45.208Z;2023-04-04T18:23:47.418Z;;1;27937210;;Riviera Fluminense;;3;4;4;;;580;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;GATED_COMMUNITY|PARTY_HALL;;RENTAL;Bairros;False;Cobertura para alugar em;063309-F-RJ;3.500;0;;False;USED;;UNIT;0;False;3278;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;8bd585d2-5b8c-c0c2-d4b1-d0bcfedf7689;/imovel/aluguel-cobertura-4-quartos-riviera-fluminense-macae-rj-225m2-id-2622809325/;GRUPOZAP;2622809325;RENTAL;NEIGHBORHOOD;Macaé;VALID_STREET;mês;4.080;3.500;cobertura;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False
;METHODUS IMOBILIÁRIA;156;156;Cobertura para aluguel possui 156 metros quadrados com 4 quartos em Pechincha - Rio de Janeiro - RJ;A cobertura está localizado no bairro Pechincha tem 156 metros quadrados com 4 quartos sendo 2 suites e 5 banheiros<br>Possui área de fitness, área de recreação infantil, salão para festas e eventos, espaço gourmet.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador para mais praticidade no dia-a-dia.<br>Fica em um condomínio fechado.;2023-05-16T17:18:52.849Z;2023-05-16T17:18:55.935Z;;2;22743051;Estrada Pau-ferro;Pechincha;250;2;5;4;;437;1.036;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;GYM|POOL|BARBECUE_GRILL|PLAYGROUND|PARTY_HALL|GAMES_ROOM|BICYCLES_PLACE|DISABLED_ACCESS|ELEVATOR|GOURMET_SPACE|CONCIERGE_24H|ELECTRONIC_GATE|GATED_COMMUNITY|PETS_ALLOWED|AIR_CONDITIONING|GOURMET_BALCONY;-22.926881;RENTAL;Zona Oeste;False;Cobertura para alugar em;;3.825;7;-43.348507;False;USED;GOOGLE;UNIT;0;False;002208;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;924fc587-066f-1b5e-3ce6-883ca5c2e1c5;/imovel/aluguel-cobertura-4-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-156m2-id-2632719206/;GRUPOZAP;2632719206;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;4.861;3.825;cobertura;True;False;False;False;True;True;False;False;False;False;False;True;False;False;False;True;False
